# x/xi     	 z/xi     	#Re(OP0) 	#Im(OP0)  	#Re(OP1) 	#Im(OP1)  	#Re(OP2) 	#Im(OP2)  	total_FE  	bulk_FE   	grad_FE
6.00000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
6.40000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
6.80000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
7.20000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
7.60000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
8.00000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
8.40000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
8.80000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
9.20000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
9.60000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
10.00000000	0.40000000	1.10938089  0.00000000	1.10938089  0.00000000	0.11513237  0.00000000	0.00000000	0.00000000	0.00000000
-10.00000000	0.80000000	1.10592620  0.00000000	1.10592621  0.00000000	0.22720074  0.00000000	0.00000000	0.00000000	0.00000000
-9.60000000	0.80000000	1.10592615  0.00000000	1.10592614  0.00000000	0.22720073  0.00000000	0.00000000	0.00000000	0.00000000
-9.20000000	0.80000000	1.10592614  0.00000000	1.10592614  0.00000000	0.22720073  0.00000000	0.00000000	0.00000000	0.00000000
-8.80000000	0.80000000	1.10592614  0.00000000	1.10592614  0.00000000	0.22720073  0.00000000	0.00000000	0.00000000	0.00000000
-8.40000000	0.80000000	1.10592614  0.00000000	1.10592614  0.00000000	0.22720073  0.00000000	0.00000000	0.00000000	0.00000000
